Dénomination,région,latitude,longitude
COOPEC DIBAYA-LUBWE,Bandundu,-3.316667,17.366667
COOPEC GUNGU,Bandundu,-5.73333,19.31667
COOPEC ECCommune de  Kikwit,Bandundu,-3.316667,17.366667
COOPEC ECOLE,Bandundu,-5.033333,18.816667
COOPEC LUKOLELA,Bandundu,-5.033333,18.816667
COOPEC Saint François Xavier/Cathédrale,Bandundu,-5.033333,18.816667
MUCREFEKI / COOPEC,Bandundu,-5.033333,18.816667
COOPEC MASIMANIMBA,Bandundu,-4.771538,17.899857
COOPEC MOKALA,Bandundu,-3.316667,17.366667
COOPEC UDIPAK,Bandundu,-5.033333,18.816667
COOPEC IDIOFA,Bandundu,-4.962607,19.589538
MEC IDECE / COOPEC Bandundu,Bandundu,-3.316667,17.366667
COOPEC CEFMC,Bandundu,-5.033333,18.816667
COOPEC BULUNGU,Bandundu,-4.545685,18.59975
IMF CREDIT YA MPA,Bandundu,-5.033333,18.816667
COOPEC MAYOMBE,Bas-Congo,-5.264131,12.94843
CAMEC INKISI / COOPEC,Bas-Congo,-5.649637,15.111924
CEAC KINZA MVUETE,Bas-Congo,-5.489058,13.29296
CAMEC MBANZA-NGUNGU/COOPEC,Bas-Congo,-5.255915,14.860505
IMF BUSINA MICROCREDIT sprl,Bas-Congo,-5.85,13.05
COOPEC CBCO MBANZA NGUNGU,Bas-Congo,-5.253956,14.861205
COOPEC CBCO BOMA,Bas-Congo,-5.85,13.05
CAMEC KWILU-NGONGO / COOPEC,Bas-Congo,-5.5,14.683333
CEAC MATADI / MVUADU,Bas-Congo,-5.816667,13.483333
COOPEC Mbongo za Kinvuka,Bas-Congo,-5.5,14.683333
COOPEC CEC,Bas-Congo,-5.85,13.05
COOPEC KINSU KI MATE,Bas-Congo,-5.138219,15.090815
CEAC LUKULA,Bas-Congo,-5.395549,12.94931
MECRE MATADI,Bas-Congo,-5.816667,13.483333
FINCA International Boma,Bas-Congo,-5.85,13.05
FINCA International Matadi,Bas-Congo,-5.816667,13.483333
IMF MAMA TOMBWAMA,Equateur,4.283333,21.016667
COOPEC DEKOC,Kasai Occidental,-5.897,22.448833
IMF ADEKOR,Kasai Oriental,-6.104746,23.626416
COOPEC MUDIANO,Kasai Oriental,-6.133333,24.483333
COOPELO,Kasai Oriental,-11.648841,27.472726
IMF TUJENGE,Katanga,-11.664677,27.479553
COOPEC KIBUNGO,Katanga,-11.664677,27.479553
COOPEC CPD,Katanga,-10.983333,26.733333
COOPEC MKONO MKONONI,Katanga,-12.1975,27.797778
FINCA International Kolwezi,Katanga,-10.716667,25.466667
FINCA International Likasi,Katanga,-10.983333,26.733333
FINCA International Lomami,Katanga,-6.145393,24.524264
FINCA International Katuba,Katanga,-11.708576,27.449766
FINCA International Bel Air,Katanga,-11.661148,27.508489
COOPEC BOLINGO,Kinshasa,-4.348889,15.252778
COOPEC’SCO,Kinshasa,-4.303056,15.303333
MEC DECO/COOPEC,Kinshasa,-4.348889,15.252778
COOPEC CBCO,Kinshasa,-4.348611,15.279722
COOPEC CEAC / MATETE,Kinshasa,-4.387873,15.351174
COOPECAS,Kinshasa,-4.331667,15.313889
MEC-CAPROS/COOPEC,Kinshasa,-4.378535,15.3219
MECRE GOMBE COOPEC,Kinshasa,-4.303056,15.303333
MECRE KINTAMBO MAGASIN MECRECO,Kinshasa,-4.341667,15.267778
MECRE MASINA/COOPEC,Kinshasa,-4.363056,15.395
MECRE NGALIEMA UPN/COOPEC MECRECO,Kinshasa,-4.348889,15.252778
MECRECO/COOCEC,Kinshasa,-4.303056,15.303333
MECREKIN/COOPEC,Kinshasa,-4.303056,15.303333
MUFESAKIN / COOPEC,Kinshasa,-4.3425,15.305278
MUTECREDE/COOPEC,Kinshasa,-4.331667,15.313889
MEC BOMOKO COOPEC,Kinshasa,-4.396111,15.318889
COOPEC CEAC KINTAMBO,Kinshasa,-4.341667,15.267778
IMF APE,Kinshasa,-4.424722,15.295556
IMF HOPE RDC,Kinshasa,-4.303056,15.303333
IMF LIFE-VEST,Kinshasa,-4.303056,15.303333
IMF VIA NOVA sprl,Kinshasa,-4.3425,15.305278
CAMEC MONT NGAFULA / COOPEC,Kinshasa,-4.424722,15.295556
IMF OPPORTUNITY INTERNETIONAL RDC,Kinshasa,-4.348889,15.252778
COOPPEC UNION ET CHARITE,Kinshasa,-4.348333,15.339444
MEC IDECE/Kinshsa,Kinshasa,-4.408889,15.3775
COOPEC FAIDEC,Kinshasa,-4.331667,15.313889
IMF YOASI,Kinshasa,-4.329917,15.318496
IMF CREP (1er catégorie),Kinshasa,-4.303056,15.303333
IMF SILVER (2er catégorie),Kinshasa,-4.331667,15.313889
COOPEC EFFETA /MAMA MOBUTU,Kinshasa,-4.407806,15.250818
IMF PALMIER,Kinshasa,-4.3425,15.305278
CEAC OZONE,Kinshasa,-4.348889,15.252778
IMF CONGO CREDIT FINANCE,Kinshasa,-4.348889,15.252778
IMF AFRIMIC,Kinshasa,-4.3475,15.32
COOPEC BUKAVU/KINSHASA,Kinshasa,-4.331667,15.313889
IMF OXUS RDC,Kinshasa,-4.331667,15.313889
IMF PADERU,Kinshasa,-4.409444,15.3425
ProCredit Bank DRC Siège principal,Kinshasa,-4.300277,15.309711
ProCredit Bank Gombe II GOMBE VI,Kinshasa,-4.302084,15.311696
ProCredit Bank KINTAMBO,Kinshasa,-4.331207,15.250896
ProCredit Bank LIMETÉ,Kinshasa,-4.348333,15.339444
ProCredit Bank LIMETÉ 16ÈME,Kinshasa,-4.348333,15.339444
ProCredit Bank MA CAMPAGNE,Kinshasa,-4.348889,15.252778
ProCredit Bank MATADI KIBALA,Kinshasa,-4.404701,15.267041
ProCredit Bank MATETE,Kinshasa,-4.387873,15.351174
ProCredit Bank N’DJILI,Kinshasa,-4.408889,15.3775
ProCredit Bank ROND-POINT NGABA,Kinshasa,-4.377836,15.34234
ProCredit Bank VICTOIRE,Kinshasa,-4.3475,15.32
ProCredit Bank UPN,Kinshasa,-4.368995,15.295296
FINCA International Head Office,Kinshasa,-4.305017,15.315354
FINCA International Gombe,Kinshasa,-4.303056,15.303333
FINCA International Rond Point Ngaba,Kinshasa,-4.389919,15.31463
FINCA International Ngaliema,Kinshasa,-4.348889,15.252778
FINCA International Masina,Kinshasa,-4.363056,15.395
FINCA International Ndjili,Kinshasa,-4.408889,15.3775
COOPEC IMARA,Maniema,-2.95,25.95
MECREKINDU/COOPEC,Maniema,-2.95,25.95
COOPEC MANIEMA,Maniema,-2.95,25.95
COOPECCO BENI,Nord-Kivu,0.488453,29.45895
COOPECCO-OICHA,Nord-Kivu,0.488453,29.45895
MECRE-BENI/COOPEC,Nord-Kivu,0.488453,29.45895
COODEFI/COOPEC,Nord-Kivu,0.15,29.283333
COOPEC LA SEMENCE,Nord-Kivu,0.15,29.283333
COOPEC-CR/BUTEMBO,Nord-Kivu,0.15,29.283333
COOPECCO/BUTURANDE,Nord-Kivu,-1.183333,29.45
COOPEC IMARA/GOMA,Nord-Kivu,-1.658501,29.220455
COOPEC ADEC,Nord-Kivu,-1.658501,29.220455
COOPEC AGRI,Nord-Kivu,-1.658501,29.220455
COOPEC BONNE MOISSON,Nord-Kivu,-1.658501,29.220455
COOPEC KESHENI,Nord-Kivu,-1.658501,29.220455
COOPEC TUJENGE PAMOJA,Nord-Kivu,-1.658501,29.220455
COOPEC UMOJA NI NGUVU,Nord-Kivu,-1.658501,29.220455
MECRE-BIRERE/COOPEC MECRECO,Nord-Kivu,-1.658501,29.220455
MECREGO/COOPEC,Nord-Kivu,-1.658501,29.220455
MECRE-KATINDO/COOPEC MECRECO,Nord-Kivu,-1.658501,29.220455
MECRE-VIRUNGA/COOPEC,Nord-Kivu,-1.658501,29.220455
COOPEC AMKENI,Nord-Kivu,-1.658501,29.220455
COOPEC TUMAINI,Nord-Kivu,-1.658501,29.220455
COOPEC KIRUMBA,Nord-Kivu,-0.15496,29.243701
COOPECCO-KIRUMBA,Nord-Kivu,-0.15496,29.243701
COOPECCO-LUBERO,Nord-Kivu,-0.15496,29.243701
MECRE-MABANGA/COOPEC,Nord-Kivu,-1.658501,29.220455
COOPEC NYAMILIMA,Nord-Kivu,-1.134594,29.564688
COOPECCO/VITSHUMBI,Nord-Kivu,-1.183333,29.45
IMF HEKIMA (2er catégorie),Nord-Kivu,-1.658501,29.220455
COOPEC MWANGAZA,Nord-Kivu,-1.658501,29.220455
COOPEC AGROPAS-LE GRENIER/BUTEMBO,Nord-Kivu,0.15,29.283333
COOPEC SILOE,Nord-Kivu,-1.658501,29.220455
Société de Microfinance Light in Business SMF LBC,Nord-Kivu,-1.658501,29.220455
COOPEC EDE/GOMA,Nord-Kivu,-1.658501,29.220455
COOPEC EAD,Nord-Kivu,-1.658501,29.220455
COOPECCO-GOMA,Nord-Kivu,-1.658501,29.220455
COOPEC AKIBA YETU,Nord-Kivu,-1.658501,29.220455
COOPEC LE BATISSEUR,Nord-Kivu,-1.658501,29.220455
COOPEC UMOJA-WETU,Nord-Kivu,-1.658501,29.220455
COOPEC NYAWERA GOMA,Nord-Kivu,-1.658501,29.220455
MECRE KISANGANI,Province Oriental,0.516667,25.2
MECRE BUNIA,Province Oriental,1.566667,30.25
COOPEC BAGIRA,Sud-Kivu,-2.471274,28.827636
COOPEC CAHI,Sud-Kivu,-2.5,28.866667
COOPEC EDE/BUKAVU,Sud-Kivu,-2.5,28.866667
COOPEC KAWA,Sud-Kivu,-2.5,28.866667
COOPEC MALI FEZA,Sud-Kivu,-2.5,28.866667
COOPEC MOCCommune de BUKAVU,Sud-Kivu,-2.5,28.866667
COOPEC NYAWERA,Sud-Kivu,-2.5,28.866667
COOPEC PILOTE,Sud-Kivu,-2.5,28.866667
MECREBU/COOPEC,Sud-Kivu,-2.5,28.866667
MUTECommune de COOPEC,Sud-Kivu,-2.5,28.866667
COOPEC Kalundu,Sud-Kivu,-3.372884,29.144879
COOPEC CIHERANO,Sud-Kivu,-2.708121,28.646898
COOPEC BURHIBA-KASHA,Sud-Kivu,-2.471274,28.827636
COOPEC FOMULAC KATANA,Sud-Kivu,-2.225,28.831389
COOPEC KAZIMIA,Sud-Kivu,-4.301111,28.944167
COOPEC LUHWINDJA,Sud-Kivu,-3.294308,28.100563
COOPECommune de BARAKA,Sud-Kivu,-4.301111,28.944167
MECRE IBANDA/COOPEC,Sud-Kivu,-2.5,28.866667
MECRE KADUTU/COOPEC,Sud-Kivu,-2.5,28.866667
MECRE UVIRA/COOPEC,Sud-Kivu,-3.372884,29.144879
COOPEC IMARA BUKAVU,Sud-Kivu,-2.5,28.866667
COOPEC MBOKO,Sud-Kivu,-4.301111,28.944167
IMF SOFIGL,Sud-Kivu,-2.5,28.866667
IMF SMICO,Sud-Kivu,-2.5,28.866667
COOCEC-KIVU,Sud-Kivu,-2.633333,28.7
COOPEC KANDO,Sud-Kivu,-2.096872,28.904823
COOPEC NYAWERA KAVUMU,Sud-Kivu,-2.465978,28.817249
COOPEC NYAWERA BEACH MUHANZI,Sud-Kivu,-2.471274,28.827636
COOPEC Axé su les Rèsultats,Sud-Kivu,-2.5,28.866667
COOPEC Tulinde Hazina,Sud-Kivu,-2.5,28.866667
COOPEC NYANTENDE,Sud-Kivu,-2.465978,28.817249
MECRE KAVUMU MECRECO,Sud-Kivu,-2.203702,28.818895
FINCA International Bukavu,Sud-Kivu,-2.5,28.866667
Paidek Beni,Nord-Kivu,0.49,29.45
Paidek Butembo,Nord-Kivu,0.15,29.283333
Paidek Goma,Nord-Kivu,-1.658501,29.220455
Paidek Idjwi,Sud-Kivu,-2.165851,29.056091
Paidek Kalehe,Sud-Kivu,-2.096872,28.904823
Paidek Katana,Sud-Kivu,-2.47824,28.839785
Paidek Bukavu,Sud-Kivu,-2.5,28.866667
Paidek Bujumbura,Sud-Kivu,-3.383333,29.366667
